Treatment,DxAm,DxDm,DxAm.DxDm,Mean,Normalized,Replicate,Construct,Plate
1500,50190,32062,1.565405,0.8792297,1.780427,1,185,2
1500,47107,30233,1.558132,0.8792297,1.772156,1,185,2
0,30713,35528,0.8644731,0.8774967,0.9851582,2,185,1
0,30855,34818,0.8861796,0.8774967,1.009895,2,185,1
0,30792,34918,0.8818374,0.8774967,1.004947,2,185,1
200,32197,34337,0.9376766,0.8774967,1.068581,2,185,1
200,33273,34543,0.9632342,0.8774967,1.097707,2,185,1
200,33451,34619,0.9662613,0.8774967,1.101157,2,185,1
400,34897,34771,1.003624,0.8774967,1.143735,2,185,1
400,33421,33910,0.9855795,0.8774967,1.123172,2,185,1
400,34602,33236,1.0411,0.8774967,1.186443,2,185,1
600,38151,31546,1.209377,0.8774967,1.378212,2,185,1
600,38086,31255,1.218557,0.8774967,1.388674,2,185,1
600,38252,31421,1.217402,0.8774967,1.387358,2,185,1
0,40074,45511,0.8805344,0.894523,0.9843619,2,185,2
0,39324,44791,0.8779442,0.894523,0.9814664,2,185,2
0,39407,42598,0.9250904,0.894523,1.034172,2,185,2
800,46083,32665,1.410776,0.894523,1.577127,2,185,2
800,46862,33805,1.386245,0.894523,1.549703,2,185,2
800,47100,31944,1.474455,0.894523,1.648315,2,185,2
1000,51179,31148,1.643091,0.894523,1.836835,2,185,2
1000,48709,30668,1.588268,0.894523,1.775547,2,185,2
1000,50912,31529,1.614767,0.894523,1.805171,2,185,2
1500,53677,29815,1.800335,0.894523,2.012621,2,185,2
1500,55664,31332,1.776586,0.894523,1.986071,2,185,2
1500,55352,30816,1.79621,0.894523,2.008008,2,185,2
0,32325,36348,0.8893199,0.8964711,0.992023,3,185,1
0,32665,35840,0.9114118,0.8964711,1.016666,3,185,1
0,31909,35906,0.8886816,0.8964711,0.9913109,3,185,1
200,29476,33620,0.87674,0.8964711,0.9779903,3,185,1
200,32061,33849,0.9471772,0.8964711,1.056562,3,185,1
200,31631,33828,0.9350538,0.8964711,1.043038,3,185,1
400,35392,35354,1.001075,0.8964711,1.116684,3,185,1
400,34727,34929,0.9942168,0.8964711,1.109034,3,185,1
400,34166,34457,0.9915547,0.8964711,1.106064,3,185,1
600,36403,32759,1.111237,0.8964711,1.239568,3,185,1
600,37892,33474,1.131983,0.8964711,1.26271,3,185,1
600,38004,32468,1.170506,0.8964711,1.305682,3,185,1
0,35756,39384,0.9078814,0.8867457,1.023835,3,185,2
0,39883,45499,0.8765687,0.8867457,0.9885232,3,185,2
0,37834,43200,0.875787,0.8867457,0.9876417,3,185,2
800,46894,35513,1.320474,0.8867457,1.489124,3,185,2
800,46515,34016,1.367445,0.8867457,1.542093,3,185,2
800,44929,33870,1.326513,0.8867457,1.495934,3,185,2
1000,49565,33308,1.488081,0.8867457,1.678137,3,185,2
1000,49489,30815,1.606004,0.8867457,1.811121,3,185,2
1000,50716,32192,1.575422,0.8867457,1.776634,3,185,2
1500,55151,31949,1.72622,0.8867457,1.946691,3,185,2
1500,51359,30863,1.664096,0.8867457,1.876633,3,185,2
1500,47597,29380,1.620048,0.8867457,1.826959,3,185,2
0,22077,25877,0.8531514,0.8384773,1.017501,1,186,1
0,24438,29562,0.8266694,0.8384773,0.9859175,1,186,1
0,25192,30148,0.835611,0.8384773,0.9965816,1,186,1
200,25934,30747,0.8434644,0.8384773,1.005948,1,186,1
200,25095,28331,0.8857788,0.8384773,1.056414,1,186,1
200,29417,34351,0.8563652,0.8384773,1.021334,1,186,1
400,24043,25246,0.9523489,0.8384773,1.135808,1,186,1
400,25449,25791,0.9867396,0.8384773,1.176823,1,186,1
400,27173,28969,0.9380027,0.8384773,1.118698,1,186,1
600,29077,28922,1.005359,0.8384773,1.19903,1,186,1
600,30866,27739,1.112729,0.8384773,1.327084,1,186,1
600,34692,32410,1.07041,0.8384773,1.276612,1,186,1
0,24903,28785,0.8651381,0.858465,1.007773,1,186,2
0,21906,25919,0.8451715,0.858465,0.9845148,1,186,2
0,23013,26602,0.8650853,0.858465,1.007712,1,186,2
800,28589,21563,1.325836,0.858465,1.544426,1,186,2
800,31663,24538,1.290366,0.858465,1.503108,1,186,2
800,33457,27347,1.223425,0.858465,1.425131,1,186,2
1000,34599,26152,1.322996,0.858465,1.541119,1,186,2
1000,39426,28472,1.384729,0.858465,1.613029,1,186,2
1000,37171,28750,1.292904,0.858465,1.506065,1,186,2
1500,41063,28219,1.455154,0.858465,1.695065,1,186,2
1500,43298,30361,1.426106,0.858465,1.661228,1,186,2
1500,45922,32363,1.418966,0.858465,1.652911,1,186,2
0,33222,38920,0.8535971,0.8485466,1.005952,2,186,1
0,30912,36428,0.848578,0.8485466,1.000037,2,186,1
0,32066,38017,0.8434648,0.8485466,0.9940111,2,186,1
200,32318,36630,0.8822823,0.8485466,1.039757,2,186,1
200,32860,35589,0.923319,0.8485466,1.088118,2,186,1
200,33229,37305,0.8907385,0.8485466,1.049723,2,186,1
400,31903,32842,0.9714086,0.8485466,1.144791,2,186,1
400,32077,33653,0.9531691,0.8485466,1.123296,2,186,1
400,31992,32172,0.9944051,0.8485466,1.171892,2,186,1
600,34580,32621,1.060053,0.8485466,1.249258,2,186,1
600,34293,31539,1.08732,0.8485466,1.281392,2,186,1
600,34032,31872,1.067771,0.8485466,1.258353,2,186,1
0,26178,32343,0.8093869,0.7985304,1.013596,2,186,2
0,25511,32244,0.791186,0.7985304,0.9908026,2,186,2
0,25183,31676,0.7950183,0.7985304,0.9956018,2,186,2
800,33613,26256,1.280203,0.7985304,1.603198,2,186,2
800,30917,25370,1.218644,0.7985304,1.526109,2,186,2
800,33757,27553,1.225166,0.7985304,1.534276,2,186,2
1000,34066,25723,1.32434,0.7985304,1.658472,2,186,2
1000,37204,28186,1.319946,0.7985304,1.652969,2,186,2
1000,37689,26873,1.402486,0.7985304,1.756334,2,186,2
1500,40905,29282,1.396933,0.7985304,1.74938,2,186,2
1500,41563,29176,1.424561,0.7985304,1.783979,2,186,2
1500,45188,32570,1.387412,0.7985304,1.737456,2,186,2
0,29715,35679,0.8328428,0.8352224,0.9971511,3,186,1
0,26389,31764,0.8307833,0.8352224,0.9946852,3,186,1
0,26867,31907,0.8420409,0.8352224,1.008164,3,186,1
200,30986,36703,0.8442362,0.8352224,1.010792,3,186,1
200,33094,35782,0.9248784,0.8352224,1.107344,3,186,1
200,31143,37332,0.8342173,0.8352224,0.9987967,3,186,1
400,33973,34372,0.9883917,0.8352224,1.183388,3,186,1
400,30229,31915,0.9471722,0.8352224,1.134036,3,186,1
400,32562,34704,0.938278,0.8352224,1.123387,3,186,1
600,35432,33432,1.059823,0.8352224,1.268911,3,186,1
600,37643,34813,1.081291,0.8352224,1.294615,3,186,1
600,34651,33170,1.044649,0.8352224,1.250743,3,186,1
0,27234,32362,0.8415425,0.8218927,1.023908,3,186,2
0,22323,27736,0.8048385,0.8218927,0.9792501,3,186,2
0,26850,32772,0.819297,0.8218927,0.9968418,3,186,2
800,34243,27464,1.246832,0.8218927,1.517026,3,186,2
800,36257,28992,1.250586,0.8218927,1.521593,3,186,2
800,40257,31498,1.278081,0.8218927,1.555046,3,186,2
1000,41880,29700,1.410101,0.8218927,1.715675,3,186,2
1000,39411,28248,1.395178,0.8218927,1.697519,3,186,2
