construct,delta_200,sd_200,delta_400,sd_400,delta_600,sd_600,delta_800,sd_800,delta_1000,sd_1000,delta_1500,sd_1500
IDRBS-097,0.0640620666666667,0.0450812237805552,0.144849955555556,0.0597075357143491,0.231792844444444,0.0626711375168448,0.291208844444444,0.0604161707345829,0.339792844444444,0.0907528235493545,0.348692955555556,0.0873736906327086
IDRBS-098,0.0265824666666667,0.187014917557163,0.0192997666666667,0.13441241530321,0.0851884222222222,0.111547505393294,0.114033622222222,0.192202151949274,0.0824006,0.185598610662897,0.0979382333333333,0.131766822467427
IDRBS-099,0.0585647333333333,0.047340983754037,0.0461799666666666,0.0640495851470562,0.111686733333333,0.0640524903026807,0.125889844444444,0.0526401817395968,0.2110404,0.0513302855561412,0.166355733333333,0.0720003254306882
IDRBS-100,0.121639966666667,0.191831844336785,0.128507233333333,0.266354919089516,0.0609529222222222,0.201600507824874,-0.0270726333333333,0.222655416226936,0.115695677777778,0.25304561557435,0.0660867888888888,0.135043725762135
IDRBS-101,0.0669238333333333,0.0312480552287658,0.111977944444444,0.0406898110518195,0.154946277777778,0.0454768409110554,0.206520944444444,0.0418775160454005,0.244112166666667,0.0450209995835832,0.191293166666667,0.0820475971741708
IDRBS-102,0.0498178777777777,0.0376853301113569,0.142245877777778,0.0483647921837461,0.296391655555556,0.0495990904595062,0.456253322222222,0.0778192838533737,0.590210322222222,0.10832223886385,0.678681322222222,0.096251613386358
IDRBS-103,0.00459421111111114,0.263433774864972,0.111704533333333,0.378899652593982,0.125773033333333,0.258658712871039,0.0591347333333334,0.178219405730808,0.0705519222222222,0.195387540874033,0.0619210333333334,0.214519474064279
IDRBS-104,0.0289494777777778,0.0418560273957281,0.114746055555556,0.0320200301225698,0.159944055555556,0.057776824936996,0.226026611111111,0.0365973511511914,0.243430388888889,0.0396765791759901,0.254711166666667,0.0391892191124996
IDRBS-105,0.0577101666666666,0.106376430440958,0.161131055555556,0.0732423750888977,0.187756722222222,0.0800756587286639,0.289092055555556,0.164509851541596,0.386458277777778,0.146397352052827,0.388068944444444,0.157263105224693
IDRBS-106,0.0465768222222222,0.106464496878088,0.0482108888888889,0.0820070723210725,0.0995226222222222,0.108962031265664,0.0246135111111111,0.0834728285094983,0.00506658888888889,0.133700487540981,-0.00354872222222222,0.0728406608920076
IDRBS-107,0.0799790333333333,0.111039562109829,0.122004544444444,0.0812419151580038,0.264470988888889,0.110872167279253,0.408598322222222,0.0640456967358616,0.4783621,0.110263121899221,0.431860211111111,0.126151736864375
IDRBS-108,0.0892455222222223,0.0321350376106353,0.144661077777778,0.0375513301050967,0.267649633333333,0.0477597499395935,0.351898855555556,0.0606116161574684,0.4054143,0.068917900446963,0.446876855555556,0.0578102847687613
